,input_string,formatted_address,latitude,longitude,accuracy,google_place_id,type,status
44,"144 CORKE ABBEY, BRAY, WICKLOW,Dublin,Ireland","144 Corke Abbey, Cork Great, Bray, Co. Dublin, A98 TR92, Ireland",53.2106923,-6.1113421,ROOFTOP,ChIJM-6DY22oZ0gRVJugzw-K0ZY,street_address,OK
45,"10 GORTLUM, BRITTAS, DUBLIN,Dublin,Ireland","Gortlum, Co. Dublin, Ireland",53.237417,-6.4464684,APPROXIMATE,ChIJF53Ik-p1Z0gR_64-fFt6T6M,"neighborhood,political",OK
46,"11 MOREEN LAWN, SANDYFORD, DUBLIN 18,Dublin,Ireland","11 Moreen Lawn, Sandyford, Dublin 16, D16 K122, Ireland",53.2736689,-6.2237899,ROOFTOP,ChIJF_Wv0goJZ0gRVOJmu31v-zw,street_address,OK
47,"13 HIGH ST, BALBRIGGAN, DUBLIN,Dublin,Ireland","13 High St, Balbriggan, Co. Dublin, K32 HK10, Ireland",53.6087632,-6.1817249,ROOFTOP,ChIJf58Sv-giZ0gRrB0OxF0I3eU,premise,OK
48,"40 O DALYS RD, DRUMCONDRA, DUBLIN 9,Dublin,Ireland","40 O'Daly Rd, Drumcondra, Dublin 9, D09 EY47, Ireland",53.374449,-6.259774699999999,ROOFTOP,ChIJVQCpkW0OZ0gRbzvS-J6JwqY,street_address,OK
49,"157A HOWTH RD, CLONTARF, DUBLIN 3,Dublin,Ireland","157A Howth Rd, Clontarf, Dublin 3, D03 H210, Ireland",53.3698786,-6.207046,ROOFTOP,ChIJ8cZq1a8PZ0gRHlXcg_DObEU,premise,OK
50,"19 ASHFIELD AVE, KINGSWOOD, TALLAGHT,Dublin,Ireland","19 Ashfield Ave, Kingswood, Dublin 24, D24 AKF3, Ireland",53.3090011,-6.3692367,ROOFTOP,ChIJCS3H9qoMZ0gRfswt7ngo1kk,street_address,OK
51,"4 ROSSECORT AVE, BALGADDY RD, LUCAN,Dublin,Ireland","Rosse Court Ave, Balgaddy, Lucan, Co. Dublin, Ireland",53.3414228,-6.417780800000001,GEOMETRIC_CENTER,ChIJ56ediBtzZ0gRULhn0CenJZw,"establishment,point_of_interest,school",OK
52,"104 HAMPTON LODGE, BLOCK A, GRACEPARK ROAD,Dublin,Ireland","Grace Park Rd, Whitehall, Dublin, Ireland",53.3757769,-6.2444636,GEOMETRIC_CENTER,ChIJqYUjs0EOZ0gRPtVwrvMpz8o,"establishment,point_of_interest",OK
53,"47 ROWANBYRN, BLACKROCK, DUBLIN,Dublin,Ireland","47 Rowanbyrn, Deansgrange, Blackrock, Co. Dublin, A94 E303, Ireland",53.28748450000001,-6.1694865,ROOFTOP,ChIJaxlc3JIIZ0gRiEu4bHJItho,premise,OK
54,"2 LIMELAWN HILL, CLONSILLA, DUBLIN 15,Dublin,Ireland","2 Limelawn Hill, Clonsilla, Dublin, D15 P4V6, Ireland",53.38297009999999,-6.404986099999999,ROOFTOP,ChIJ5xDybqVyZ0gRdavaS6NkcyI,street_address,OK
55,"88 SEAFIELD RD, CLONTARF, DUBLIN 3,Dublin,Ireland","Sunbury, 88 Seafield Rd E, Clontarf, Dublin 3, D03 PK58, Ireland",53.3638904,-6.1902465,ROOFTOP,ChIJb1JXvqEPZ0gRjg1CXHXHJUQ,street_address,OK
56,"102 SHREWSBURY PARK, BALLSBRIDGE, DUBLIN 4,Dublin,Ireland","4 Shrewsbury Park, Ballsbridge, Dublin, Ireland",53.3247321,-6.219168199999999,ROOFTOP,ChIJmauUadAOZ0gRFHUf1IYre6A,premise,OK
57,"85 MOY HOUSE, CUSTOM HOUSE SQ, IFSC DUBLIN 1,Dublin,Ireland","Custom House Square, Mayor Street Lower, International Financial Services Centre, Dublin 1, Ireland",53.34961699999999,-6.243003,ROOFTOP,ChIJefwM54wOZ0gRCZea9YdOM_U,subpremise,OK
58,"60 LARAGHCON, LUCAN, DUBLIN,Dublin,Ireland","60 Laraghcon, Lucan, Co. Dublin, K78 WD90, Ireland",53.3632224,-6.453947599999999,ROOFTOP,ChIJJ63CvVxyZ0gRhAZ5y4DopzM,street_address,OK
59,"Apartment No. 50 Orwell Gate, Block A  Marianella  Rathgar,Dublin,Ireland","Duncara, 50 Orwell Rd, Dublin 6, D06 PW68, Ireland",53.3105416,-6.2740493,ROOFTOP,ChIJTxTIJvgLZ0gRH4m3-wEAEsc,street_address,OK
60,"Apartment 109 Neptune Block, Honeypark, Dun-Laoghaire,Dublin,Ireland","Dún Laoghaire, Dublin, Ireland",53.2943958,-6.133866599999999,APPROXIMATE,ChIJjxxH-94HZ0gR8Ckyl6nHAAo,"neighborhood,political",OK
61,"1 HOGY PLACE BEAUPARK, CLONGRIFFIN DUBLIN 13, DUBLIN,Dublin,Ireland","Beaupark, Grange Abbey Rd, Grange Abbey, Dublin 13, Ireland",53.3990994,-6.1545887,ROOFTOP,ChIJ2Soy-1EFZ0gRrOpJq5qlHOM,premise,OK
62,"9 LORNE TERRACE, OFF BROOKFEILD RD, KILMAINHAM DUBLIN 8,Dublin,Ireland","Brookfield Rd, Dublin, Ireland",53.3397105,-6.3011986,GEOMETRIC_CENTER,ChIJq2oHmkYMZ0gRyudGa2hJNKA,route,OK
63,"397 BALLYFERMOT RD, DUBLIN 10, DUBLIN,Dublin,Ireland","397 Ballyfermot Rd, Cherry Orchard, Dublin 10, D10 FT54, Ireland",53.3425221,-6.360781999999999,ROOFTOP,ChIJd9Rec9sMZ0gRCgVEWCB-Hfo,street_address,OK
64,"12B Deanstown Park, Finglas, Dublin 11,Dublin,Ireland","12B Deanstown Park, Finglas South, Dublin 11, D11 AH2P, Ireland",53.386253,-6.316008099999999,ROOFTOP,ChIJZ9T-K44NZ0gRqb_CWYCp6Iw,street_address,OK
65,"13 DONAGHMEDE PARK, DUBLIN 13, DUBLIN,Dublin,Ireland","13 Donaghmede Park, Donaghmede, Dublin 13, D13 HN30, Ireland",53.3930577,-6.1581201,ROOFTOP,ChIJucCKFFoFZ0gRlWWjdFjpFjs,street_address,OK
66,"APT 5, 5 SLANEY HOUSE, MAYOR ST LOWER DUBLIN 1,Dublin,Ireland","Mayor Street Lower, Dublin Docklands, Dublin, Ireland",53.3493224,-6.2434737,GEOMETRIC_CENTER,ChIJS3SY6YwOZ0gRfMxRYr00JBI,route,OK
67,"26 OLDBRIDGE VIEW, LUCAN, DUBLIN,Dublin,Ireland","26 Oldbridge View, Kishoge, Lucan, Co. Dublin, K78 VX77, Ireland",53.3376307,-6.4336848,ROOFTOP,ChIJQcf9vwdzZ0gROw337GgOGEc,street_address,OK
68,"51 HILLCREST WALK, LUCAN, DUBLIN,Dublin,Ireland","Kilalney, 51 Hillcrest Walk, Lucan, Co. Dublin, K78 XV12, Ireland",53.3499616,-6.4576663,ROOFTOP,ChIJg_jAP0xyZ0gRyoiYhpfbdxc,street_address,OK
69,"ST JUDES, 7 HARDEBACK AVE, WALKINSTOWN DUBLIN 12,Dublin,Ireland","Walkinstown, Dublin, Ireland",53.3192335,-6.332096600000001,APPROXIMATE,ChIJNweTr4QMZ0gRwPKW8azHABg,"neighborhood,political",OK
70,"5 Canal Way, Station Road, Clondalkin,Dublin,Ireland","Station Rd, Dublin, Ireland",53.3329857,-6.3946409,GEOMETRIC_CENTER,ChIJZbgiJjlzZ0gRlkMOJrjr_aM,route,OK
71,"30 HARBOR COURT, GEORGES PLACE, DUN LAOGHAIRE,Dublin,Ireland","22, Harbour Court, George's Pl, Dún Laoghaire, Dublin, Ireland",53.2951772,-6.141183000000001,ROOFTOP,ChIJOylWUyAGZ0gRi2ayXFKccg0,premise,OK
72,"3 BARNWELL RD, HANSFIELD, DUBLIN 15,Dublin,Ireland","3 Barnwell Rd, Hansfield, Dublin, D15 AKW5, Ireland",53.3911645,-6.444009599999999,ROOFTOP,ChIJtZwUNn5tZ0gRT-ZPabOyYRw,premise,OK
73,"37 CLONLIFFE AVE, BALLYBOUGH, DUBLIN 3,Dublin,Ireland","37 Bóthar, Clonliffe Ave, Drumcondra, Dublin 3, D03 AW73, Ireland",53.3614361,-6.244936999999999,ROOFTOP,ChIJH33zvGAOZ0gRdJ72EB7AfGo,street_address,OK
74,"36 CASTLEFORBES SQ DUBLIN 1, DUBLIN 1, DUBLIN,Dublin,Ireland","36 Castleforbes Square, Dublin Docklands, Dublin, Ireland",53.3495406,-6.2315011,RANGE_INTERPOLATED,EjkzNiBDYXN0bGVmb3JiZXMgU3F1YXJlLCBEdWJsaW4gRG9ja2xhbmRzLCBEdWJsaW4sIElyZWxhbmQiMBIuChQKEgk1HPSu8Q5nSBHfLPKwDf9G5BAkKhQKEgmfZ8FR8A5nSBEr42tzprszFw,street_address,OK
75,"11 The Green, The Paddocks, Hansfield,Dublin,Ireland","11 The Green, Barberstown, Co. Dublin, Ireland",53.39014100000001,-6.435993,ROOFTOP,ChIJfRcznIJyZ0gRTdE8z0jHsEY,street_address,OK
76,"5 The Rise, St. Marnock's Bay, Portmarnock,Dublin,Ireland","St Marnock's Ave, Portmarnock, Co. Dublin, Ireland",53.4204519,-6.1405716,GEOMETRIC_CENTER,ChIJ75vD6cYaZ0gRL1_slFtKOWg,route,OK
77,"195 CLONLIFFE RD, DRUMCONDRA, DUBLIN 3,Dublin,Ireland","195 Clonliffe Rd, Drumcondra, Dublin 3, D03 YY11, Ireland",53.3625425,-6.2536909,ROOFTOP,ChIJrwWScGQOZ0gRFd0wkr1uKgc,premise,OK
78,"12 THE GRANGE, DEANS GRANGE, DUBLIN,Dublin,Ireland","12 The Grange, Deansgrange, Blackrock, Co. Dublin, A94 F2D7, Ireland",53.2800918,-6.1593177,ROOFTOP,ChIJ6YI-LIkIZ0gRMEonqGZerxA,street_address,OK
79,"APT 7, GRATTAN LODGE, BALGRIFFIN DUBLIN 13,Dublin,Ireland","Balgriffin, Co. Dublin, Ireland",53.4096881,-6.176562700000001,APPROXIMATE,ChIJh2aPIgEQZ0gRIq29GajHACY,"neighborhood,political",OK
80,"28 WHITECHURCH COURT, RATHFARNHAM, DUBLIN 16,Dublin,Ireland","28 Whitechurch Dr, Whitechurch, Dublin 16, D16 P8F1, Ireland",53.27511029999999,-6.2890929,ROOFTOP,ChIJRRJ4FbELZ0gRF2hzGcS6YI8,street_address,OK
81,"30 Abbots Grove Park, Knocklyon, Dublin 16,Dublin,Ireland","30 Abbots Grove Park, Woodtown, Dublin 16, D16 T3H4, Ireland",53.2690405,-6.3252449,ROOFTOP,ChIJQWnAUhwLZ0gRYHUCEsCpqDM,premise,OK
82,"57 KILFENORA RD, KIMMAGE, DUBLIN 12,Dublin,Ireland","57 Kilfenora Rd, Crumlin, Dublin 12, D12 N2C1, Ireland",53.3179131,-6.296984999999999,ROOFTOP,ChIJxVm433MMZ0gRnkqHAElSko4,street_address,OK
83,"UNIT NO. 42, 2ND FLOOR, NORTHBANK,Dublin,Ireland","Dublin, Ireland",53.3498053,-6.2603097,APPROXIMATE,ChIJL6wn6oAOZ0gRoHExl6nHAAo,"locality,political",OK
84,"13 THE CRESCENT, PARK WEST, DUBLIN 12,Dublin,Ireland","Park West Pointe, 12 Yeats Way, Park West Business Park, Dublin 12, D12 DA30, Ireland",53.3320146,-6.3770256,ROOFTOP,ChIJLcHZTMsMZ0gRCWnHc8JMvNk,"establishment,point_of_interest",OK
85,"34 THE CRESCENT, CARRICKMINES MANOR, GLENAMUCK RD,Dublin,Ireland","34 Carrickmines Green, Dublin, Ireland",53.2495716,-6.1790356,RANGE_INTERPOLATED,EiYzNCBDYXJyaWNrbWluZXMgR3JlZW4sIER1YmxpbiwgSXJlbGFuZCIwEi4KFAoSCT-S4Kk3CGdIEcupmstp-P60ECIqFAoSCTPDn1U2CGdIEaS03J-oozlD,street_address,OK
86,"351 PEARSE ROAD, SALLYNOGGIN, DUN LAOGHAIRE,Dublin,Ireland","351 Pearse Road, Thomastown, Dublin, Ireland",53.2755214,-6.1388636,RANGE_INTERPOLATED,EiwzNTEgUGVhcnNlIFJvYWQsIFRob21hc3Rvd24sIER1YmxpbiwgSXJlbGFuZCIxEi8KFAoSCUUvQU7VB2dIEbAwqA9PNdJ7EN8CKhQKEgktaWbyfwhnSBGT4Os83vZHwQ,street_address,OK
87,"6 Abbots Grove Park, Knocklyon, Dublin 16,Dublin,Ireland","6 Abbots Grove Park, Ballycullen, Dublin 16, D16 W2P1, Ireland",53.270229,-6.326548,ROOFTOP,ChIJM5P4PxwLZ0gRlYXoA64ZnoU,premise,OK
88,"43 Clanbrassil Street Lower, Dublin 8,Dublin,Ireland","43 Clanbrassil Street Lower, Portobello, Dublin, D08 E7W2, Ireland",53.3333153,-6.2749071,ROOFTOP,ChIJ6yFBmhgMZ0gRNof8UHRZ178,premise,OK
89,"8 SEACLIFF AVE, BALDOYLE, DUBLIN 13,Dublin,Ireland","8 Seacliff Ave, Baldoyle, Dublin 13, D13 K352, Ireland",53.3928449,-6.1389825,ROOFTOP,ChIJDcsfhEcFZ0gRr6vF5mspXo0,street_address,OK
90,"18 THE PARK, BALBRIGGAN ST, SKERRIES,Dublin,Ireland","18 Balbriggan St, The Park, Townparks, Skerries, Co. Dublin, K34 D821, Ireland",53.5803918,-6.114321899999999,ROOFTOP,ChIJ1fU9b6cYZ0gRVuueCnQ6_zw,street_address,OK
91,"4 ADELAIDE SQ, WHITEFRIAR ST, DUBLIN,Dublin,Ireland","Dublin, Ireland",53.3498053,-6.2603097,APPROXIMATE,ChIJL6wn6oAOZ0gRoHExl6nHAAo,"locality,political",OK
92,"APT 6, 151 153 JAMES ST, DUBLIN 8,Dublin,Ireland","6 151, 153 James St, Saint James' (part of Phoenix Park), Dublin, Ireland",53.34226760000001,-6.295444400000001,RANGE_INTERPOLATED,Ekk2IDE1MSwgMTUzIEphbWVzIFN0LCBTYWludCBKYW1lcycgKHBhcnQgb2YgUGhvZW5peCBQYXJrKSwgRHVibGluLCBJcmVsYW5kIjwaOgoxEi8KFAoSCRUqg3I4DGdIER-F1tk5cmQbEJkBKhQKEgkjbSxrOAxnSBHnPlPjnAXdeRIFNiAxNTE,subpremise,OK
93,"45 RAVENSWELL, PALMER RD, RUSH,Dublin,Ireland","45 Ravenswell, Rush Demesne, Rush, Co. Dublin, Ireland",53.5332241,-6.093145199999999,RANGE_INTERPOLATED,EjY0NSBSYXZlbnN3ZWxsLCBSdXNoIERlbWVzbmUsIFJ1c2gsIENvLiBEdWJsaW4sIElyZWxhbmQiMBIuChQKEgmXmpBUKRlnSBGdmhypOVa-7xAtKhQKEgnnZQi0LhlnSBF0GT45yyEagg,street_address,OK
94,"21 BROOKFIELD PARK RUSH, DUBLIN,Dublin,Ireland","21 Brookfield Park, Rush, Co. Dublin, K56 CC93, Ireland",53.52372889999999,-6.092613999999999,ROOFTOP,ChIJd63fFTEZZ0gRO93ZFAE_638,premise,OK
95,"Apartment 98, Northbank, Castleforbes Road  Upper Sheriff St,Dublin,Ireland","North Bank, Sheriff Street Upper, Dublin Docklands, Dublin 1, Ireland",53.34977809999999,-6.2325154,ROOFTOP,ChIJudU8dfEOZ0gR567o4v7V6xU,subpremise,OK
